sampling_time,FGSLDC1,FGSLDC2,FGSLDC3,FGSLDIC4,FGSLDNC4,FGSLDIC5,FGSLDNC5,FGSLDC6,FGSLDCO2,FGSLDH2S,FGSLDN2,FI021M,FICA012,QICA017,FI005,LIA001,LICA004,PDI001,QT001GCIU,TDIA014,TI001,TI003,TI017,TI019,TI021,TI022,TI038,TICA039,TICA040
2021-02-01 00:00:00.000,62.5154,7.78263,4.34612,0.975821,1.10503,0.181817,0.297806,0.205455,20.7479,0.002488,1.83955,17247,226.749,0.000710869,12396.3,62.0363,58.1426,582.492,13.4351,0.0235634,78.1036,79.9292,70.919,163.238,169.137,80.1817,157.142,85.1116,152.854
2021-02-01 00:01:00.000,62.5154,7.78263,4.34612,0.975821,1.10503,0.181817,0.297806,0.205455,20.7479,0.002488,1.83955,17244.2,225.131,0.000710869,12445.5,61.5375,58.1583,582.347,13.4351,0.0284386,78.1239,79.9827,70.8452,163.275,169.122,80.2009,157.125,85.1275,152.878
2021-02-01 00:02:00.000,62.5358,7.78426,4.36632,0.971361,1.10219,0.181797,0.298728,0.205025,20.7115,0.002512,1.84055,17233.8,223.535,0.000710869,12434.5,62.0613,58.1262,582.824,13.4351,0.0259171,78.1378,80.0122,70.7246,163.275,169.139,80.2351,157.14,85.1595,152.889
2021-02-01 00:03:00.000,62.5358,7.78426,4.36632,0.971361,1.10219,0.181797,0.298728,0.205025,20.7115,0.002512,1.84055,17264.7,222.534,0.000691282,12423.2,62.0387,58.1915,582.542,13.4351,0.00798798,78.1502,80.0372,70.6414,163.257,169.152,80.2391,157.153,85.2181,152.919
2021-02-01 00:04:00.000,62.5358,7.78426,4.36632,0.971361,1.10219,0.181797,0.298728,0.205025,20.7115,0.002512,1.84055,17265.5,222.542,0.000691282,12408,61.7389,58.1922,583.451,13.4351,0.00692749,78.1521,80.0373,70.5663,163.275,169.179,80.2401,157.164,85.2636,152.92
2021-02-01 00:05:00.000,62.5358,7.78426,4.36632,0.971361,1.10219,0.181797,0.298728,0.205025,20.7115,0.002512,1.84055,17277.1,223.541,0.000691282,12443.5,61.4599,57.9743,583.611,13.4351,0.0182266,78.1525,80.0502,70.4684,163.287,169.179,80.2277,157.191,85.2697,152.968
2021-02-01 00:06:00.000,62.498,7.79954,4.35717,0.975666,1.10321,0.182638,0.299286,0.204623,20.7577,0.002462,1.81972,17278.7,222.71,0.000678719,12389.5,61.5223,58.0049,583.873,13.4351,0.00833511,78.1731,80.0903,70.3407,163.291,169.193,80.2557,157.182,85.3233,153.009
2021-02-01 00:07:00.000,62.498,7.79954,4.35717,0.975666,1.10321,0.182638,0.299286,0.204623,20.7577,0.002462,1.81972,17258.1,225.852,0.000678719,12381,61.74,58.0687,584.178,13.4351,-0.00400543,78.1944,80.0647,70.2579,163.344,169.204,80.2824,157.188,85.3231,153.026
2021-02-01 00:08:00.000,62.498,7.79954,4.35717,0.975666,1.10321,0.182638,0.299286,0.204623,20.7577,0.002462,1.81972,17292.2,226.111,0.000678719,12393.5,62.0028,57.9811,584.824,13.4351,0.0161209,78.2012,80.0623,70.1746,163.385,169.226,80.282,157.192,85.3422,153.027
2021-02-01 00:09:00.000,62.498,7.79954,4.35717,0.975666,1.10321,0.182638,0.299286,0.204623,20.7577,0.002462,1.81972,17294.2,228.145,0.00065316,12439.5,61.714,58.1665,584.94,13.4607,0.00858307,78.2162,80.0748,70.1415,163.435,169.245,80.2986,157.208,85.3712,153.012
2021-02-01 00:10:00.000,62.5757,7.78892,4.36467,0.967465,1.10188,0.182856,0.298993,0.205494,20.6805,0.00246,1.83099,17258.2,228.534,0.00065316,12449.4,62.2597,58.2214,584.667,13.4598,0.0151558,78.2226,80.0695,70.1203,163.422,169.28,80.2746,157.2,85.3992,152.984
2021-02-01 00:11:00.000,62.5757,7.78892,4.36467,0.967465,1.10188,0.182856,0.298993,0.205494,20.6805,0.00246,1.83099,17335,230.732,0.00065316,12507.6,62.0355,58.3489,584.837,13.4607,0.00531769,78.2198,80.0715,70.0866,163.422,169.28,80.2815,157.219,85.4661,152.941
2021-02-01 00:12:00.000,62.5757,7.78892,4.36467,0.967465,1.10188,0.182856,0.298993,0.205494,20.6805,0.00246,1.83099,17266.4,232.059,0.000631877,12593.4,62.4797,58.4489,584.714,13.4607,0.000617981,78.223,80.0868,70.0762,163.43,169.3,80.3025,157.212,85.489,152.913
2021-02-01 00:13:00.000,62.5757,7.78892,4.36467,0.967465,1.10188,0.182856,0.298993,0.205494,20.6805,0.00246,1.83099,17290.3,233.378,0.000631877,12744.4,62.3752,58.6386,585.011,13.4598,0.0170479,78.2463,80.0854,70.0609,163.443,169.313,80.3148,157.238,85.5373,152.894
2021-02-01 00:14:00.000,62.5549,7.78004,4.34911,0.974798,1.10151,0.182716,0.299566,0.205296,20.672,0.002464,1.87766,17238.4,234.885,0.000631877,12856.1,62.4428,58.7643,585.977,13.4607,0.0356178,78.2471,80.0704,70.0007,163.49,169.321,80.3051,157.25,85.5281,152.824
2021-02-01 00:15:00.000,62.5549,7.78004,4.34911,0.974798,1.10151,0.182716,0.299566,0.205296,20.672,0.002464,1.87766,17223.3,235.603,0.000602825,12922.3,62.7552,58.9071,586.632,13.4607,0.00900269,78.2471,80.0566,69.9377,163.44,169.302,80.3055,157.271,85.5333,152.755
2021-02-01 00:16:00.000,62.5549,7.78004,4.34911,0.974798,1.10151,0.182716,0.299566,0.205296,20.672,0.002464,1.87766,17267.9,237.746,0.000602825,13065.7,63.1046,58.9966,587.143,13.4607,0.0206947,78.2101,80.0317,69.9643,163.404,169.315,80.2912,157.245,85.5236,152.673
2021-02-01 00:17:00.000,62.5549,7.78004,4.34911,0.974798,1.10151,0.182716,0.299566,0.205296,20.672,0.002464,1.87766,17221.3,237.828,0.000602825,13112.2,63.9429,59.1434,586.517,13.4607,0.0209846,78.1696,79.9884,70.0756,163.403,169.267,80.2411,157.242,85.5137,152.588
2021-02-01 00:18:00.000,62.6181,7.76838,4.32563,0.955396,1.09127,0.183407,0.300028,0.207544,20.7053,0.002401,1.84251,17232.1,241.009,0.000583739,13147.4,62.8272,59.3025,586.254,13.4598,0.0128593,78.125,79.9557,70.1277,163.419,169.189,80.209,157.206,85.4985,152.502
2021-02-01 00:19:00.000,62.6181,7.76838,4.32563,0.955396,1.09127,0.183407,0.300028,0.207544,20.7053,0.002401,1.84251,17326.6,242.546,0.000583739,13340.7,62.9579,59.2765,586.926,13.4598,0.0201836,78.1373,79.8996,70.1911,163.339,169.098,80.1716,157.184,85.4641,152.436
2021-02-01 00:20:00.000,62.6181,7.76838,4.32563,0.955396,1.09127,0.183407,0.300028,0.207544,20.7053,0.002401,1.84251,17243.5,243.234,0.000583739,13415.4,63.9701,59.4691,586.324,13.4598,0.000717163,78.0708,79.8581,70.3558,163.367,169.026,80.139,157.165,85.4193,152.362
2021-02-01 00:21:00.000,62.6181,7.76838,4.32563,0.955396,1.09127,0.183407,0.300028,0.207544,20.7053,0.002401,1.84251,17225.3,244.599,0.000569653,13497.1,63.1975,59.4108,586.443,13.4598,0.0206947,78.0303,79.817,70.4139,163.304,169.006,80.0999,157.166,85.3708,152.279
